competition_name,country_name,competition_gender,competition_id
Champions League,Europe,male,16
FA Women's Super League,England,female,37
FIFA World Cup,International,male,43
La Liga,Spain,male,11
NWSL,United States of America,female,49
Premier League,England,male,2
UEFA Euro,Europe,male,55
Women's World Cup,International,female,72
